date avg_temp min_temp max_temp precip day_length moon_pct day_of_week
2012-01-01 47 41 52 0.05 9.3 54 Sun
2012-01-02 42 33 50 0.00 9.32 63 Mon
2012-01-03 24 15 33 0.00 9.33 72 Tues
2012-01-04 20 13 27 0.00 9.33 80 Wed
2012-01-05 34 27 40 0.00 9.35 87 Thurs
2012-01-06 44 35 53 0.00 9.37 93 Fri
2012-01-07 54 46 62 0.00 9.38 97 Sat
2012-01-08 40 33 46 0.00 9.42 100 Sun
2012-01-09 36 31 41 0.00 9.43 100 Mon
2012-01-10 40 33 47 0.00 9.45 98 Tues
2012-01-11 43 37 48 0.07 9.47 93 Wed
2012-01-12 43 41 45 1.38 9.5 87 Thurs
2012-01-13 39 28 50 0.09 9.52 79 Fri
2012-01-14 30 27 32 T 9.53 69 Sat
2012-01-15 21 15 27 0.00 9.57 58 Sun
2012-01-16 26 15 37 0.04 9.58 46 Mon
2012-01-17 45 36 53 0.19 9.62 35 Tues
2012-01-18 39 24 54 0.00 9.65 25 Wed
2012-01-19 29 20 37 0.00 9.67 16 Thurs
2012-01-20 30 24 36 0.00 9.7 8 Fri
2012-01-21 26 22 29 0.39 9.73 3 Sat
2012-01-22 26 18 34 0.00 9.77 0 Sun
2012-01-23 44 34 53 0.37 9.78 0 Mon
2012-01-24 48 42 53 0.00 9.82 2 Tues
2012-01-25 40 36 44 0.00 9.85 6 Wed
2012-01-26 37 33 40 0.18 9.88 12 Thurs
2012-01-27 50 40 59 0.47 9.92 19 Fri
2012-01-28 40 37 44 0.00 9.95 27 Sat
2012-01-29 33 27 39 0.11 9.98 36 Sun
2012-01-30 33 27 39 0.11 10.03 46 Mon
2012-01-31 54 54 55 0.00 10.07 55 Tues
2012-02-01 55 48 62 0.03 10.1 64 Wed
2012-02-02 43 35 50 0.00 10.13 73 Thurs
2012-02-03 37 30 44 0.00 10.17 81 Fri
2012-02-04 41 35 46 0.00 10.22 89 Sat
2012-02-05 36 32 40 0.00 10.25 94 Sun
2012-02-06 42 33 51 0.00 10.28 98 Mon
2012-02-07 44 38 49 0.00 10.33 100 Tues
